sample,year_CE,C16-alkanol-ug.gTOC,alcohol-mz-84-97-279-ug.gTOC,C18-alkanol-ug.gTOC,Phytol-ug.gTOC,alcohol-mz-57-267-95-497-ug.gTOC,C20-alkanol-ug.gTOC,C22-alkanol-ug.gTOC,C24-alkanol-ug.gTOC,C26-alkanol-ug.gTOC,C28-alkanol-ug.gTOC,cholesterol-ug.gTOC,cholestanol-ug.gTOC,Brassicasterol-ug.gTOC,Campasterol-plus-x-co-elutingug.gTOC,Campastanol-plus-x-ug.gTOC,Stigmasterol_ug.gTOC,4a-desmethyl-dinosterol-ug.gTOC,C30-alkanol-ug.gTOC,unknown-compound-M486,Fungisterol-ug.gTOC,Sitosterol-ug.gTOC,Chondrillasterol-ug.gTOC,Sitostanol-ug.gTOC,4a-24-dimethyl-5a-cholestan-3b-ol-ug.gTOC,Amyrin-ug.gTOC,Dehydrodinosterol-ug.gTOC,Dinosterol.ug.gTOC,maybe-single-22-dihydrochondrillasterol-ug.gTOC,a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-ug.gTOC,4a-23-24-cholest-17-20-en-3b-ol-ug.gTOC,Triterpenoid-mz-189-371-plus-alcohol-mz-227-410-500-ug.gTOC,Dinostanol-plus-isomer.ug.gTOC,maybe-another-Dinostanol-isomer-ug.gTOC,sterol-mz-75-255-388-500-ug.gTOC,C32-alkanol-ug.gTOC,maybe-Lanosterol-plus-co-eluter-ug.gTOC,Tetrahymanol-ug.gTOC,Diplopterol-ug.gTOC
GRE18_2018-2016-F3,2017,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2015-2013-F3,2014,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_2012-2010-F3,2011,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV,#NV
GRE18_1979-1977-F3,1978,26.6670733,112.522041,335.6148737,623.0989322,154.4739002,235.1255365,154.4739002,236.1011612,710.5799409,189.2711788,444.5596244,226.9953312,160.6528562,505.698768,308.6225922,263.4186509,160.6528562,65.69205861,220.1659588,347.3223693,273.1748972,1353.516574,476.430029,128.7824515,68.94414072,35.77290321,179.5149324,188.6207624,235.1255365,10.40666275,182.7670146,385.0465218,65.69205861,184.0678474,91.38350728,0,285.207601,699.1976536
GRE18_1976-1974-F3,1975,31.55815938,126.2326375,350.2955691,662.721347,206.1799746,231.0758559,184.089263,185.4918479,768.616504,156.0375658,339.4255364,157.7907969,241.9458886,420.4248122,195.6605881,204.4267435,109.050973,50.84370122,190.7515411,213.8941913,223.0109929,811.044696,525.2680305,120.2716519,37.86979125,47.33723907,184.089263,160.5959666,213.1928989,19.98683427,142.7130096,213.8941913,43.83077691,97.47964786,79.24604466,12.62326375,309.6206081,467.7620512
GRE18_1973-1971-F3,1972,33.93154537,438.7427728,387.4509018,320.3769168,313.2749654,143.6172386,186.2289467,172.025044,681.7873303,132.5697587,535.0136689,243.8336633,376.4034219,754.3850553,277.7652086,308.5403312,136.5152872,142.8281329,216.2149635,351.1520393,400.8656988,1283.874984,703.0931844,182.2834182,76.54325352,34.72065108,325.9006567,385.8726904,337.7372423,18.14943125,165.7121983,492.4019608,103.3728475,101.7946361,92.32536765,14.20390271,550.7957831,815.9353004
GRE18_1970-1968-F3,1969,26.29077561,107.0868177,229.3496117,739.7754016,180.1879987,131.2401319,117.1328865,112.6442175,318.2680072,129.5301628,255.212895,141.4999468,150.0497925,232.9832961,215.2423662,73.10118098,92.12458772,52.15405894,103.2393872,145.1336312,114.3541866,499.3109905,364.8646665,97.4682413,47.45164379,20.73337589,111.1479945,154.7522077,170.14193,6.198638153,94.4757953,274.4500479,63.69635068,144.706139,76.52111927,3.847430578,247.3042877,402.2702415
GRE18_1967-1965-F3,1966,34.15149538,150.3100847,273.211963,753.7256782,185.3316819,107.4575714,70.43474015,88.42409472,325.2005451,127.4699127,199.4708361,98.75655351,157.2708991,265.1635214,182.5038511,96.58129903,97.01634992,34.80407172,171.8451041,194.9028016,144.2193722,589.2764393,464.416832,80.48441586,35.23912262,23.05769752,105.9348933,193.1625981,185.9842583,8.70101793,53.29373482,175.7605622,42.19993696,72.00092337,61.12465096,5.655661655,260.8130125,407.8602155
GRE18_1964-1962-F3,1963,19.77050858,129.7756461,235.7252946,868.8885053,42.58263387,108.4843291,110.5120736,103.414968,334.0709014,136.3658156,264.1137172,92.26237338,222.0380195,404.0280856,165.2611743,83.64445938,84.65833162,38.52714493,86.68607609,59.31152574,238.7669113,128.7617738,456.7494418,84.65833162,23.3190614,33.45778375,141.9421129,58.80458963,222.0380195,11.6595307,43.08956998,291.4882675,14.19421129,55.76297292,66.91556751,10.13872235,228.628189,310.75184
GRE18_1961-1959-F3,1960,22.79653341,73.60023644,185.6289149,1681.732836,181.7209378,115.9366556,95.74544032,81.41619075,249.4592085,116.5879852,263.788458,93.79145174,216.2414026,302.8682296,149.1544615,100.9560765,66.43561165,35.1717944,42.33641919,29.9611582,246.2025608,40.38243061,329.5727402,95.74544032,17.5858972,47.5470554,184.3262559,46.24439635,169.3456768,26.70451057,54.71168018,287.8876505,20.84254483,62.5276345,75.55422501,15.63190862,222.7546979,262.485799
GRE18_1958-1956-F3,1957,32.41388218,442.3810118,238.3105141,1311.620895,220.049172,132.39473,113.2203209,115.0464551,421.8370019,199.5051622,411.3367302,147.9168708,279.8550673,489.4039676,213.6577023,136.503532,87.19790841,47.02295584,56.61016043,25.56587891,469.7730249,0,554.6882655,177.1350181,42.00108677,103.6331163,396.7276566,0,227.8102424,93.58937813,138.3296662,657.4083147,73.50190185,75.32803606,95.41551234,19.63094273,218.6795713,477.0775617
GRE18_1955-1953-F3,1954,27.10478285,99.3842038,195.5158337,929.1519562,190.4562742,124.320604,98.66140959,92.87905591,386.6949021,186.8423031,288.7562867,110.2261169,162.2673,352.3621771,217.9224541,123.2364127,63.96728754,50.59559466,52.76397729,18.43125234,341.8816611,0,489.3316798,121.4294272,20.23823786,92.1562617,316.5838637,0,154.6779608,37.22390179,75.17059778,464.0338825,39.75368152,55.65515413,76.97758331,19.87684076,162.6286971,348.7482061
GRE18_1952-1950-F3,1951,17.06306622,36.29287101,61.48120686,997.5122681,158.9844424,53.08509491,35.48034405,28.4384437,134.6086335,59.31446829,116.462198,44.95982528,92.62807377,103.4617666,85.04448878,60.93952222,28.98012834,27.89675906,58.77278365,10.83369284,122.4207291,0,189.5896247,44.68898296,6.500215703,21.66738568,82.60690789,71.77321506,15.4380123,25.18833585,20.58401639,10.83369284,20.85485871,36.02202869,11.91706212,0,79.08595772,127.5667332
