"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU6645"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6646"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU6647"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6648"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Pirellula"	"staleyi"
"OTU6649"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU6650"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"SH-PL14"	NA
"OTU6651"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	NA	NA
"OTU6652"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	NA	NA	NA	NA
"OTU6653"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6654"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	NA	NA	NA	NA
"OTU6655"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU6656"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU6657"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU6658"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6659"	"Bacteria"	"Thermodesulfobacteriota"	NA	NA	NA	NA	NA
"OTU6660"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	NA	NA	NA
"OTU6661"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	NA	NA
"OTU6662"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6663"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Levilinea"	"saccharolytica"
"OTU6664"	"Bacteria"	"Patescibacteria"	"ABY1"	NA	NA	NA	NA
"OTU6665"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6666"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"aquatilis"
"OTU6667"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6668"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Planctomicrobium"	"piriforme"
"OTU6669"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylotenera"	NA
"OTU6670"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"	NA
"OTU6671"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6672"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	NA	NA	NA
"OTU6673"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6674"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	NA	NA	NA	NA
"OTU6675"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6676"	"Bacteria"	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	NA	NA
"OTU6677"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Opitutales"	"Puniceicoccaceae"	NA	NA
"OTU6678"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6679"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	NA	NA	NA
"OTU6680"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6681"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6682"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU6683"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"OTU6684"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6685"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6686"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU6687"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6688"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Methylophilaceae"	"Methylotenera"	"versatilis"
"OTU6689"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6690"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6691"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6692"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6693"	"Bacteria"	"Actinomycetota"	"Actinobacteria"	NA	NA	NA	NA
"OTU6694"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6695"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Acidisphaera"	"rubrifaciens"
"OTU6696"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU6697"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6698"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU6699"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6700"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU6701"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6702"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Opitutales"	"Puniceicoccaceae"	NA	NA
"OTU6703"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6704"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6705"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	NA
"OTU6706"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Gallionellaceae"	"Gallionella"	"capsiferriformans"
"OTU6707"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU6708"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Opitutales"	"Puniceicoccaceae"	NA	NA
"OTU6709"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU6710"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU6711"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU6712"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU6713"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6714"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU6715"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6716"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6717"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6718"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	NA	NA	NA
"OTU6719"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6720"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	NA
"OTU6721"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6722"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6723"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA
"OTU6724"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6725"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	NA	NA
"OTU6726"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6727"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	NA
"OTU6728"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	NA
"OTU6729"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6730"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6731"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU6732"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6733"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6734"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6735"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Ralstonia"	"pickettii"
"OTU6736"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6737"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6738"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6739"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6740"	"Bacteria"	"Thermodesulfobacteriota"	"Syntrophorhabdia"	"Syntrophorhabdales"	"Syntrophorhabdaceae"	"Syntrophorhabdus"	"aromaticivorans"
"OTU6741"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6742"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6743"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6744"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	"Victivallales"	NA	NA	NA
"OTU6745"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Achromobacter"	NA
"OTU6746"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	"Oligosphaerales"	NA	NA	NA
"OTU6747"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	NA	NA	NA	NA
"OTU6748"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6749"	"Bacteria"	"Pseudomonadota"	NA	NA	NA	NA	NA
"OTU6750"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6751"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6752"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU6753"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6754"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU6755"	"Bacteria"	"Patescibacteria"	"ABY1"	"Candidatus Uhrbacteria"	NA	NA	NA
"OTU6756"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	NA
"OTU6757"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	NA
"OTU6758"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6759"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6760"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU6761"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6762"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	NA	NA	NA
"OTU6763"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6764"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	NA	NA	NA	NA
"OTU6765"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"crocatus"
"OTU6766"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	NA
"OTU6767"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU6768"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6769"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6770"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"	NA
"OTU6771"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6772"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Flavihumibacter"	"petaseus"
"OTU6773"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6774"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"	"Rhodobacter"	NA
"OTU6775"	"Bacteria"	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	NA	NA
"OTU6776"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6777"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6778"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Acidisphaera"	"rubrifaciens"
"OTU6779"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	NA	NA	NA	NA
"OTU6780"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6781"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"rosea"
"OTU6782"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6783"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	NA	NA
"OTU6784"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6785"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	NA	NA	NA
"OTU6786"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6787"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Schlesneriaceae"	NA	NA
"OTU6788"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6789"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU6790"	"Bacteria"	"Patescibacteria"	NA	NA	NA	NA	NA
"OTU6791"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU6792"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6793"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU6794"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6795"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU6796"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Hyphomicrobiales Incertae Sedis"	"Phreatobacter"	NA
"OTU6797"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Amesbacteria"	NA	NA	NA
"OTU6798"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6799"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6800"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6801"	"Bacteria"	"Lentisphaerota"	"Lentisphaeria"	"Victivallales"	NA	NA	NA
"OTU6802"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU6803"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Acetobacterales"	"Acetobacteraceae"	"Roseomonas"	"rosea"
"OTU6804"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6805"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	"Thermogutta"	"terrifontis"
"OTU6806"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6807"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU6808"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6809"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU6810"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	NA
"OTU6811"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6812"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU6813"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6814"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"	NA
"OTU6815"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Synechococcales"	"Cyanobiaceae"	"Cyanobium PCC-6307"	NA
"OTU6816"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Propionivibrio"	"aalborgensis"
"OTU6817"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU6818"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6819"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6820"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Schlesneriaceae"	"Planctopirus"	"limnophila"
"OTU6821"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6822"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6823"	"Bacteria"	"Patescibacteria"	"Gracilibacteria"	"Candidatus Doudnabacteria"	NA	NA	NA
"OTU6824"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"dehalogenans"
"OTU6825"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6826"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6827"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Gallionellaceae"	"Gallionella"	"capsiferriformans"
"OTU6828"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU6829"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU6830"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU6831"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	NA	NA	NA	NA
"OTU6832"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6833"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6834"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6835"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6836"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6837"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Chloroplast"	NA	NA	NA
"OTU6838"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU6839"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6840"	"Bacteria"	"Fibrobacterota"	"Chitinivibrionia"	"Chitinivibrionales"	"Chitinivibrionaceae"	"Chitinivibrio"	NA
"OTU6841"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6842"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU6843"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"apiculatus"
"OTU6844"	"Bacteria"	"Methylomirabilota"	"Methylomirabilia"	"Methylomirabilales"	"Methylomirabilaceae"	"Candidatus Methylomirabilis"	"oxyfera"
"OTU6845"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6846"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	NA
"OTU6847"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiia"	"Opitutales"	"Puniceicoccaceae"	NA	NA
"OTU6848"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6849"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6850"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6851"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Byssovorax"	"cruenta"
"OTU6852"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6853"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"rosea"
"OTU6854"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"amylolyticus"
"OTU6855"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Hydrogenophilaceae"	"Thiobacillus"	"denitrificans"
"OTU6856"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6857"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6858"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6859"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"dehalogenans"
"OTU6860"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Planctomycetales"	"Rubinisphaeraceae"	NA	NA
"OTU6861"	"Bacteria"	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"	"Rhodobacter"	"blasticus"
"OTU6862"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6863"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6864"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6865"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6866"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6867"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6868"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6869"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6870"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6871"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6872"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6873"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6874"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6875"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	"Pirellulales"	"Pirellulaceae"	NA	NA
"OTU6876"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6877"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Immundisolibacterales"	"Immundisolibacteraceae"	"Immundisolibacter"	"cernigliae"
"OTU6878"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6879"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6880"	"Bacteria"	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	NA
"OTU6881"	"Bacteria"	"Planctomycetota"	NA	NA	NA	NA	NA
"OTU6882"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Noviherbaspirillum"	NA
"OTU6883"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA	NA
"OTU6884"	"Bacteria"	"Pseudomonadota"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"	NA
"OTU6885"	"Bacteria"	NA	NA	NA	NA	NA	NA
"OTU6886"	"Bacteria"	"Patescibacteria"	"Microgenomatia"	"Candidatus Shapirobacteria"	NA	NA	NA
"OTU6887"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	NA	NA	NA	NA
"OTU6888"	"Bacteria"	"Planctomycetota"	"Planctomycetes"	NA	NA	NA	NA
"OTU6889"	"Bacteria"	"Bacillota"	"Moorellia"	"Moorellales"	"Moorellaceae"	"Moorella"	NA
"OTU6890"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	"Labilithrix"	"luteola"
"OTU6891"	"Bacteria"	"Myxococcota"	"Polyangiia"	"Polyangiales"	"Polyangiaceae"	NA	NA
"OTU6892"	"Bacteria"	"Cyanobacteriota"	"Cyanobacteriia"	"Cyanobacteriales"	NA	NA	NA
