"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"classifier"
"OTU2938"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU2939"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Geobacterales"	"Geobacteraceae"	"Geotalea"	"Geotalea uraniireducens"	"NCBI"
"OTU2940"	NA	"Candidatus Binatota"	"Candidatus Binatia"	NA	NA	NA	"Candidatus Binatia bacterium"	"NCBI"
"OTU2941"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU2942"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU2943"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU2944"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. PKUAC-SCTA174"	"NCBI"
"OTU2945"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU2946"	NA	"Candidatus Peregrinibacteria"	"Candidatus Peribacteria"	"Candidatus Peribacterales"	NA	"Candidatus Peribacter"	"Candidatus Peribacter riflensis"	"NCBI"
"OTU2947"	NA	"Thermodesulfobacteriota"	"Syntrophia"	"Syntrophales"	"Smithellaceae"	NA	"Smithellaceae bacterium"	"NCBI"
"OTU2948"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU2949"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomyces"	"Planctomyces sp. SH-PL14"	"NCBI"
"OTU2950"	NA	"Kiritimatiellota"	"Kiritimatiellia"	"Kiritimatiellales"	"Kiritimatiellaceae"	"Kiritimatiella"	"Kiritimatiella glycovorans"	"NCBI"
"OTU2951"	NA	"Candidatus Latescibacteria"	NA	NA	NA	NA	"Candidatus Latescibacteria bacterium"	"NCBI"
"OTU2952"	NA	NA	NA	NA	NA	NA	NA	"NCBI"
"OTU2953"	NA	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Ilyobacter"	"uncultured Ilyobacter sp."	"NCBI"
"OTU2954"	NA	"Actinomycetota"	"Actinomycetes"	"Micrococcales"	"Dermabacteraceae"	"Brachybacterium"	"Brachybacterium sp. SGAir0954"	"NCBI"
"OTU2955"	NA	"Lentisphaerota"	"Oligosphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Oligosphaera"	"Oligosphaera ethanolica"	"NCBI"
"OTU2956"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"Phenylobacterium lituiforme"	"NCBI"
"OTU2957"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Maioricimonas"	"Maioricimonas rarisocia"	"NCBI"
"OTU2958"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"Chondromyces crocatus"	"NCBI"
"OTU2959"	NA	"Candidatus Peregrinibacteria"	"Candidatus Peribacteria"	NA	NA	NA	"uncultured Candidatus Peribacteria bacterium"	"NCBI"
"OTU2960"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU2961"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctopirus"	"Planctopirus ephydatiae"	"NCBI"
"OTU2962"	NA	"Candidatus Binatota"	"Candidatus Binatia"	NA	NA	NA	"Candidatus Binatia bacterium"	"NCBI"
"OTU2963"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU2964"	NA	"Myxococcota"	NA	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"Sandaracinus amylolyticus"	"NCBI"
"OTU2965"	NA	"Streptophyta"	"Magnoliopsida"	"Poales"	"Juncaceae"	"Juncus"	"Juncus bufonius"	"NCBI"
"OTU2966"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Polyangium"	"Polyangium aurulentum"	"NCBI"
"OTU2967"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU2968"	NA	"candidate division Zixibacteria"	NA	NA	NA	NA	"uncultured candidate division Zixibacteria bacterium"	"NCBI"
"OTU2969"	NA	"Bacteroidota"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Ferruginibacter"	"uncultured Ferruginibacter sp."	"NCBI"
"OTU2970"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"Gammaproteobacteria bacterium"	"NCBI"
"OTU2971"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU2972"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Oceanospirillales"	"Endozoicomonadaceae"	"Endozoicomonas"	"Endozoicomonas montiporae"	"NCBI"
"OTU2973"	NA	"Bacillariophyta"	"Coscinodiscophyceae"	"Thalassiosirales"	"Thalassiosiraceae"	"Stephanocyclus"	"Stephanocyclus meneghinianus"	"NCBI"
"OTU2974"	NA	"Porifera"	"Demospongiae"	"Axinellida"	"Axinellidae"	"Phakellia"	"Phakellia robusta"	"NCBI"
"OTU2975"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Desulfuromonadales"	"Geoalkalibacteraceae"	"Geoalkalibacter"	"Geoalkalibacter halelectricus"	"NCBI"
"OTU2976"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"	"Methylomonas"	"Methylomonas rapida"	"NCBI"
"OTU2977"	NA	"Actinomycetota"	"Acidimicrobiia"	"Acidimicrobiales"	NA	NA	"Acidimicrobiales bacterium"	"NCBI"
"OTU2978"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU2979"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Maioricimonas"	"Maioricimonas rarisocia"	"NCBI"
"OTU2980"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU2981"	NA	"Candidatus Gracilibacteria"	NA	NA	NA	NA	"Candidatus Gracilibacteria bacterium 28_42_T64"	"NCBI"
"OTU2982"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas denitrificans"	"NCBI"
"OTU2983"	NA	"Mycoplasmatota"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Candidatus Hepatoplasma"	"Candidatus Hepatoplasma crinochetorum"	"NCBI"
"OTU2984"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Aquabacterium"	"Aquabacterium olei"	"NCBI"
"OTU2985"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU2986"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU2987"	NA	"Streptophyta"	"Zygnemophyceae"	"Spirogloeales"	"Spirogloeaceae"	"Spirogloea"	"Spirogloea muscicola"	"NCBI"
"OTU2988"	NA	"Bacillariophyta"	"Bacillariophyceae"	"Naviculales"	"Stauroneidaceae"	"Craticula"	"Craticula sp."	"NCBI"
"OTU2989"	NA	"Chlorophyta"	"Trebouxiophyceae"	NA	NA	"Choricystis"	"Choricystis parasitica"	"NCBI"
"OTU2990"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU2991"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Sterolibacteriaceae"	"Sulfuritalea"	"Sulfuritalea hydrogenivorans"	"NCBI"
"OTU2992"	NA	"Lentisphaerota"	"Oligosphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Oligosphaera"	"Oligosphaera ethanolica"	"NCBI"
"OTU2993"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU2994"	NA	"Streptophyta"	"Zygnemophyceae"	"Spirogloeales"	"Spirogloeaceae"	"Spirogloea"	"Spirogloea muscicola"	"NCBI"
"OTU2995"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU2996"	NA	"Candidatus Binatota"	"Candidatus Binatia"	NA	NA	NA	"Candidatus Binatia bacterium"	"NCBI"
"OTU2997"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU2998"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU2999"	NA	"Pseudomonadota"	"Alphaproteobacteria"	NA	NA	NA	"Alphaproteobacteria bacterium"	"NCBI"
"OTU3000"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Kaistiaceae"	"Kaistia"	"Kaistia sp."	"NCBI"
"OTU3001"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU3002"	NA	"Bacillota"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	"[Clostridium] cellulosi"	"NCBI"
"OTU3003"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3004"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU3005"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"Asticcacaulis sp. AND118"	"NCBI"
"OTU3006"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3007"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU3008"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiella"	"Coxiella burnetii"	"NCBI"
"OTU3009"	NA	"Candidatus Binatota"	"Candidatus Binatia"	NA	NA	NA	"Candidatus Binatia bacterium"	"NCBI"
"OTU3010"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Sedimentisphaeraceae"	"Limihaloglobus"	"Limihaloglobus sulfuriphilus"	"NCBI"
"OTU3011"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Geobacterales"	"Geobacteraceae"	"Geobacter"	"Geobacter sp. SVR"	"NCBI"
"OTU3012"	NA	"Candidatus Parcubacteria"	NA	NA	NA	NA	"Candidatus Parcubacteria bacterium"	"NCBI"
"OTU3013"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU3014"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU3015"	NA	"Chlorophyta"	"Chlorophyceae"	"Chlamydomonadales"	"Chlamydomonadaceae"	"Chlamydomonas"	"Chlamydomonas leiostraca"	"NCBI"
"OTU3016"	NA	"candidate division Zixibacteria"	NA	NA	NA	NA	"uncultured candidate division Zixibacteria bacterium"	"NCBI"
"OTU3017"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Chondromyces"	"Chondromyces crocatus"	"NCBI"
"OTU3018"	NA	"Candidatus Berkelbacteria"	NA	NA	NA	NA	"Berkelbacteria bacterium GW2011_GWE1_39_12"	"NCBI"
"OTU3019"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3020"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"Minicystis rosea"	"NCBI"
"OTU3021"	NA	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Luteolibacter"	"Luteolibacter sp. SL250"	"NCBI"
"OTU3022"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"
"OTU3023"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"Alcaligenes faecalis"	"NCBI"
"OTU3024"	NA	"Bacillota"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	"Paenibacillus polymyxa"	"NCBI"
"OTU3025"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Maioricimonas"	"Maioricimonas rarisocia"	"NCBI"
"OTU3026"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3027"	NA	"Bacillariophyta"	"Coscinodiscophyceae"	"Stephanodiscales"	"Stephanodiscaceae"	"Discostella"	"Discostella pseudostelligera"	"NCBI"
"OTU3028"	NA	"Thermodesulfobacteriota"	"Syntrophia"	"Syntrophales"	"Smithellaceae"	NA	"Smithellaceae bacterium"	"NCBI"
"OTU3029"	NA	"Rhodophyta"	"Florideophyceae"	"Gracilariales"	"Gracilariaceae"	"Gracilaria"	"Gracilaria spinulosa"	"NCBI"
"OTU3030"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU3031"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	NA	"Planctomycetaceae bacterium"	"NCBI"
"OTU3032"	NA	"Calditrichota"	"Calditrichia"	NA	NA	NA	"Calditrichia bacterium"	"NCBI"
"OTU3033"	NA	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"Mycolicibacterium madagascariense"	"NCBI"
"OTU3034"	NA	"Fibrobacterota"	"Fibrobacteria"	NA	NA	NA	"uncultured Fibrobacteria bacterium"	"NCBI"
"OTU3035"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodobacterales"	"Paracoccaceae"	"Fuscovulum"	"Fuscovulum sp. YMD61"	"NCBI"
"OTU3036"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU3037"	NA	"Planctomycetota"	"Planctomycetia"	NA	NA	NA	"Planctomycetia bacterium"	"NCBI"
"OTU3038"	NA	"Thermodesulfobacteriota"	"Syntrophia"	"Syntrophales"	"Syntrophaceae"	"Syntrophus"	"Syntrophus buswellii"	"NCBI"
"OTU3039"	NA	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Spirochaeta"	"Spirochaeta thermophila"	"NCBI"
"OTU3040"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3041"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3042"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU3043"	NA	"Mycoplasmatota"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Candidatus Hepatoplasma"	"Candidatus Hepatoplasma crinochetorum"	"NCBI"
"OTU3044"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Enterobacterales"	"Bruguierivoracaceae"	"Sodalis"	"Sodalis sp."	"NCBI"
"OTU3045"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Caulifigura"	"Caulifigura coniformis"	"NCBI"
"OTU3046"	NA	"Actinomycetota"	"Rubrobacteria"	"Gaiellales"	"Gaiellaceae"	NA	"uncultured Gaiellaceae bacterium"	"NCBI"
"OTU3047"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Nostocaceae"	"Trichormus"	"Trichormus azollae"	"NCBI"
"OTU3048"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU3049"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	"Brevundimonas pondensis"	"NCBI"
"OTU3050"	NA	"Kiritimatiellota"	"Tichowtungiia"	"Tichowtungiales"	"Tichowtungiaceae"	"Tichowtungia"	"Tichowtungia aerotolerans"	"NCBI"
"OTU3051"	NA	"Candidatus Binatota"	"Candidatus Binatia"	NA	NA	NA	"Candidatus Binatia bacterium"	"NCBI"
"OTU3052"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"Polaromonas sp. Pch-P"	"NCBI"
"OTU3053"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3054"	NA	"Actinomycetota"	"Actinomycetes"	"Mycobacteriales"	"Mycobacteriaceae"	"Mycobacteroides"	"Mycobacteroides chelonae"	"NCBI"
"OTU3055"	NA	"Myxococcota"	NA	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"Sandaracinus amylolyticus"	"NCBI"
"OTU3056"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU3057"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3058"	NA	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Pyrinomonadaceae"	NA	"Pyrinomonadaceae bacterium"	"NCBI"
"OTU3059"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Duganella"	"Duganella dendranthematis"	"NCBI"
"OTU3060"	NA	"Bacillariophyta"	"Bacillariophyceae"	"Naviculales"	NA	NA	"Naviculales sp."	"NCBI"
"OTU3061"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU3062"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiella"	"Coxiella burnetii"	"NCBI"
"OTU3063"	NA	"Candidatus Peregrinibacteria"	"Candidatus Peribacteria"	"Candidatus Peribacterales"	NA	"Candidatus Peribacter"	"Candidatus Peribacter riflensis"	"NCBI"
"OTU3064"	NA	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Breznakiellaceae"	"Gracilinema"	"Gracilinema caldarium"	"NCBI"
"OTU3065"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3066"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"	"Legionella israelensis"	"NCBI"
"OTU3067"	NA	"Myxococcota"	NA	"Polyangiales"	"Polyangiaceae"	"Minicystis"	"Minicystis rosea"	"NCBI"
"OTU3068"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU3069"	NA	"Candidatus Berkelbacteria"	NA	NA	NA	NA	"uncultured Candidatus Berkelbacteria bacterium"	"NCBI"
"OTU3070"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU3071"	NA	"Candidatus Binatota"	"Candidatus Binatia"	NA	NA	NA	"Candidatus Binatia bacterium"	"NCBI"
"OTU3072"	NA	"Planctomycetota"	"Candidatus Brocadiia"	"Candidatus Brocadiales"	"Candidatus Brocadiaceae"	"Candidatus Kuenenia"	"Candidatus Kuenenia stuttgartiensis"	"NCBI"
"OTU3073"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"Roseomonas fluvialis"	"NCBI"
"OTU3074"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Herbaspirillum"	"Herbaspirillum rubrisubalbicans"	"NCBI"
"OTU3075"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Oceanospirillales"	"Endozoicomonadaceae"	"Endozoicomonas"	"Endozoicomonas montiporae"	"NCBI"
"OTU3076"	NA	"Thermodesulfobacteriota"	"Desulfuromonadia"	"Geobacterales"	"Geobacteraceae"	"Geobacter"	"Geobacter sp. SVR"	"NCBI"
"OTU3077"	NA	"Lentisphaerota"	"Oligosphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Oligosphaera"	"Oligosphaera ethanolica"	"NCBI"
"OTU3078"	NA	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"Anaeromyxobacter dehalogenans"	"NCBI"
"OTU3079"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3080"	NA	"Calditrichota"	"Calditrichia"	NA	NA	NA	"Calditrichia bacterium"	"NCBI"
"OTU3081"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Gimesia"	"Gimesia panareensis"	"NCBI"
"OTU3082"	NA	"Pseudomonadota"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Thiorhodovibrio"	"Thiorhodovibrio sp. 970"	"NCBI"
"OTU3083"	NA	"Candidatus Latescibacteria"	NA	NA	NA	NA	"Candidatus Latescibacteria bacterium"	"NCBI"
"OTU3084"	NA	"Candidatus Nomurabacteria"	NA	NA	NA	NA	"Candidatus Nomurabacteria bacterium"	"NCBI"
"OTU3085"	NA	"Streptophyta"	"Magnoliopsida"	"Poales"	"Cyperaceae"	"Carex"	"Carex extensa"	"NCBI"
"OTU3086"	NA	"Armatimonadota"	"Armatimonadia"	"Capsulimonadales"	"Capsulimonadaceae"	"Capsulimonas"	"Capsulimonas corticalis"	"NCBI"
"OTU3087"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Lignipirellula"	"Lignipirellula cremea"	"NCBI"
"OTU3088"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Zoogloeaceae"	"Thauera"	"Thauera aromatica"	"NCBI"
"OTU3089"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Sterolibacteriaceae"	"Sulfuritalea"	"Sulfuritalea hydrogenivorans"	"NCBI"
"OTU3090"	NA	"Chlorophyta"	"Chlorophyceae"	"Chlamydomonadales"	"Chlamydomonadaceae"	"Chlamydomonas"	"Chlamydomonas leiostraca"	"NCBI"
"OTU3091"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU3092"	NA	"candidate division NC10"	NA	NA	NA	"Candidatus Methylomirabilis"	"Candidatus Methylomirabilis oxyfera"	"NCBI"
"OTU3093"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3094"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU3095"	NA	"Candidatus Berkelbacteria"	NA	NA	NA	NA	"Berkelbacteria bacterium GW2011_GWE1_39_12"	"NCBI"
"OTU3096"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Lignipirellula"	"Lignipirellula cremea"	"NCBI"
"OTU3097"	NA	"Bacteroidota"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	"Pedobacter steynii"	"NCBI"
"OTU3098"	NA	"Nitrospirota"	"Nitrospiria"	"Candidatus Troglogloeales"	"Candidatus Manganitrophaceae"	NA	"Candidatus Manganitrophaceae bacterium"	"NCBI"
"OTU3099"	NA	"Candidatus Peregrinibacteria"	"Candidatus Peribacteria"	"Candidatus Peribacterales"	NA	"Candidatus Peribacter"	"Candidatus Peribacter riflensis"	"NCBI"
"OTU3100"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3101"	NA	"Candidatus Berkelbacteria"	NA	NA	NA	NA	"Berkelbacteria bacterium GW2011_GWE1_39_12"	"NCBI"
"OTU3102"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU3103"	NA	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Spirochaeta"	"Spirochaeta thermophila"	"NCBI"
"OTU3104"	NA	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Luteolibacter"	"Luteolibacter ambystomatis"	"NCBI"
"OTU3105"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta hypogea"	"NCBI"
"OTU3106"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU3107"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU3108"	NA	"Planctomycetota"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctopirus"	"Planctopirus ephydatiae"	"NCBI"
"OTU3109"	NA	"candidate division Zixibacteria"	NA	NA	NA	NA	"uncultured candidate division Zixibacteria bacterium"	"NCBI"
