"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"classifier"
"OTU39"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"
"OTU40"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU41"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter sp. AJA081-3"	"NCBI"
"OTU42"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU43"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU44"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter sp. AJA081-3"	"NCBI"
"OTU45"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU46"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Thiomonas"	"Thiomonas sp. CB2"	"NCBI"
"OTU47"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU48"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU49"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Pararobbsia"	"Pararobbsia alpina"	"NCBI"
"OTU50"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1107"	"NCBI"
"OTU51"	NA	"Chlorophyta"	"Chlorophyceae"	"Sphaeropleales"	"Mychonastaceae"	"Mychonastes"	"Mychonastes homosphaera"	"NCBI"
"OTU52"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas sp."	"NCBI"
"OTU53"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU54"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU55"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Rubrivivax"	"Rubrivivax gelatinosus"	"NCBI"
"OTU56"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Rugamonas"	"Rugamonas sp. DEMB1"	"NCBI"
"OTU57"	NA	"Planctomycetota"	"Phycisphaerae"	NA	NA	NA	"Phycisphaerae bacterium"	"NCBI"
"OTU58"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	"Massilia violaceinigra"	"NCBI"
"OTU59"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Methylophilaceae"	"Methylobacillus"	"Methylobacillus flagellatus"	"NCBI"
"OTU60"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU61"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU62"	NA	"candidate division Zixibacteria"	NA	NA	NA	NA	"uncultured candidate division Zixibacteria bacterium"	"NCBI"
"OTU63"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1107"	"NCBI"
"OTU64"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU65"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU66"	NA	"Bacillota"	"Clostridia"	"Moorellales"	"Moorellaceae"	"Moorella"	"Moorella humiferrea"	"NCBI"
"OTU67"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Roseateles"	"uncultured Roseateles sp."	"NCBI"
"OTU68"	NA	"Pseudomonadota"	"Gammaproteobacteria"	NA	NA	NA	"uncultured Gammaproteobacteria bacterium"	"NCBI"
"OTU69"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Cruz-8H5"	"NCBI"
"OTU70"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU71"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"Roseomonas fluvialis"	"NCBI"
"OTU72"	NA	"Myxococcota"	"Myxococcia"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"Anaeromyxobacter dehalogenans"	"NCBI"
"OTU73"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"Polaromonas sp. P1(28)-13"	"NCBI"
"OTU74"	NA	"Thermodesulfobacteriota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	NA	"Desulfovibrionaceae bacterium LT0009"	"NCBI"
"OTU75"	NA	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Bacteriovorax"	"Bacteriovorax stolpii"	"NCBI"
"OTU76"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter sp. AJA081-3"	"NCBI"
"OTU77"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Usitatibacteraceae"	"Usitatibacter"	"Usitatibacter palustris"	"NCBI"
"OTU78"	NA	"Bacillota"	"Bacilli"	"Bacillales"	"Pasteuriaceae"	"Pasteuria"	"Pasteuria ramosa"	"NCBI"
"OTU79"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. M30B3"	"NCBI"
"OTU80"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU81"	NA	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"
"OTU82"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. PCC 7920"	"NCBI"
"OTU83"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU84"	NA	"Pseudomonadota"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	"Roseomonas fluvialis"	"NCBI"
"OTU85"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"
"OTU86"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Usitatibacteraceae"	"Usitatibacter"	"Usitatibacter palustris"	"NCBI"
"OTU87"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU88"	NA	"Myxococcota"	NA	"Polyangiales"	"Sandaracinaceae"	"Sandaracinus"	"Sandaracinus amylolyticus"	"NCBI"
"OTU89"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Methylibium"	"Methylibium sp."	"NCBI"
"OTU90"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus thiophilus"	"NCBI"
"OTU91"	NA	"Bacillariophyta"	"Fragilariophyceae"	"Fragilariales"	"Staurosiraceae"	"Nanofrustulum"	"Nanofrustulum shiloi"	"NCBI"
"OTU92"	NA	NA	"Deltaproteobacteria"	NA	NA	NA	"uncultured delta proteobacterium"	"NCBI"
"OTU93"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus denitrificans"	"NCBI"
"OTU94"	NA	"Calditrichota"	"Calditrichia"	NA	NA	NA	"Calditrichia bacterium"	"NCBI"
"OTU95"	NA	"Cyanobacteriota"	"Cyanophyceae"	"Pseudanabaenales"	"Leptolyngbyaceae"	"Leptolyngbya"	"Leptolyngbya sp. 7M"	"NCBI"
"OTU96"	NA	"Actinomycetota"	"Actinomycetes"	"Actinomycetales"	"Actinomycetaceae"	"Trueperella"	"Trueperella pecoris"	"NCBI"
"OTU97"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
"OTU98"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	NA	"Rhizobacter"	"Rhizobacter sp. AJA081-3"	"NCBI"
"OTU99"	NA	"Bdellovibrionota"	"Bacteriovoracia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Bacteriovorax"	"Bacteriovorax stolpii"	"NCBI"
"OTU100"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Janthinobacterium"	"Janthinobacterium sp. 17J80-10"	"NCBI"
"OTU101"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Rhodocyclaceae"	"Azospira"	"Azospira sp. I13"	"NCBI"
"OTU102"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Burkholderiales"	"Sphaerotilaceae"	"Methylibium"	"Methylibium sp."	"NCBI"
"OTU103"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Thermoguttaceae"	"Thermogutta"	"Thermogutta terrifontis"	"NCBI"
"OTU104"	NA	NA	NA	NA	NA	NA	"uncultured organism"	"NCBI"
"OTU105"	NA	"Pseudomonadota"	"Betaproteobacteria"	"Rhodocyclales"	"Azonexaceae"	"Dechloromonas"	"Dechloromonas denitrificans"	"NCBI"
"OTU106"	NA	"Candidatus Peregrinibacteria"	NA	NA	NA	NA	"Candidatus Peregrinibacteria bacterium"	"NCBI"
"OTU107"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU108"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"Anaerohalosphaera"	"Anaerohalosphaera lusitana"	"NCBI"
"OTU109"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Pirellula"	"Pirellula sp. SH-Sr6A"	"NCBI"
"OTU110"	NA	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	NA	"Anaerohalosphaeraceae bacterium"	"NCBI"
"OTU111"	NA	"Planctomycetota"	"Planctomycetia"	"Pirellulales"	"Pirellulaceae"	"Anatilimnocola"	"Anatilimnocola aggregata"	"NCBI"
