sample;phytol.sterol.ratio
ZUG24_S1;0.255416609
ZUG24_S2;0.340312957
ZUG24_S3;0.394312507
ZUG24_S4;0.315332652
ZUG24_S5;0.35131191
ZUG24_S6;0.395491544
ZUG24_S7;0.35287301
ZUG24_S8;0.296587655
ZUG24_S9;0.322311639
ZUG24_S10;0.239853739
ZUG24_S11;0.203750777
ZUG24_S12;0.303578724
ZUG24_S13;0.212594211
ZUG24_S14;0.18486236
