"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"NA"	"ASV_ID"
"ASV180"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV180"
"ASV189"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus rubescens"	"NCBI"	"ASV189"
"ASV191"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Prochlorococcaceae"	"Cyanobium"	"Cyanobium sp. Tous-M-B4"	"NCBI"	"ASV191"
"ASV207"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV207"
"ASV218"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV218"
"ASV221"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Codiaceae"	"Codium"	"Codium fragile"	"NCBI"	"ASV221"
"ASV241"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV241"
"ASV243"	"unassigned"	"Chlorophyta"	"Ulvophyceae"	"Bryopsidales"	"Derbesiaceae"	"Pedobesia"	"Pedobesia claviformis"	"NCBI"	"ASV243"
"ASV247"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Gloeomargaritales"	"unassigned"	"unassigned"	"Gloeomargaritales cyanobacterium VI4D9"	"NCBI"	"ASV247"
"ASV271"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1108"	"NCBI"	"ASV271"
"ASV282"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Nostocales"	"Aphanizomenonaceae"	"Dolichospermum"	"Dolichospermum planctonicum"	"NCBI"	"ASV282"
"ASV284"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. SynAce01"	"NCBI"	"ASV284"
"ASV292"	"unassigned"	"Cyanobacteriota"	"Cyanophyceae"	"Synechococcales"	"Synechococcaceae"	"Synechococcus"	"Synechococcus sp. CBW1107"	"NCBI"	"ASV292"
"ASV306"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV306"
"ASV332"	"unassigned"	"Rhodophyta"	"Bangiophyceae"	"Bangiales"	"Bangiaceae"	"Neoporphyra"	"Neoporphyra haitanensis"	"NCBI"	"ASV332"
